Date,SP500,Russels2000,High_Yield,Low_Yield
7/29/83,195.23,119.59,98.21,182.48
8/31/83,198.16,114.79,99.41,183.75
9/30/83,200.90,116.60,101.94,189.81
10/31/83,198.57,108.40,102.91,190.49
11/30/83,202.76,113.86,103.62,192.67
12/30/83,201.70,111.48,102.92,193.04
1/31/84,200.58,109.43,106.56,197.02
2/29/84,193.52,103.00,105.64,196.01
3/30/84,196.87,103.37,104.66,193.81
4/30/84,198.74,102.62,103.31,193.43
5/31/84,187.74,97.07,99.37,187.40
6/29/84,191.82,99.60,100.93,189.80
7/31/84,189.44,94.58,103.30,198.34
8/31/84,210.36,105.47,105.95,201.68
9/28/84,210.41,104.43,108.41,206.47
10/31/84,211.22,102.34,111.98,215.23
11/30/84,208.85,99.41,113.00,219.08
12/31/84,214.36,100.78,112.90,222.28
1/31/85,231.06,113.96,117.19,227.34
2/28/85,233.89,116.71,118.67,222.69
3/29/85,234.04,114.11,119.18,227.23
4/30/85,233.82,112.55,121.36,231.93
5/31/85,247.33,116.44,126.50,244.05
6/28/85,251.21,117.55,128.10,246.63
7/31/85,250.84,120.71,129.18,245.77
8/30/85,248.69,119.25,131.78,250.39
9/30/85,240.91,111.86,133.04,251.90
10/31/85,252.04,115.91,133.39,257.18
11/29/85,269.32,123.74,136.71,263.36
12/31/85,282.35,128.96,141.85,271.41
1/31/86,283.93,130.86,143.72,272.92
2/28/86,305.15,140.01,149.25,283.68
3/31/86,322.18,146.59,154.99,292.49
4/30/86,318.55,148.61,157.45,294.04
5/30/86,335.49,153.52,159.18,288.42
6/30/86,341.16,153.15,160.95,295.97
7/31/86,322.08,138.67,159.34,298.59
8/29/86,345.97,142.82,161.79,306.01
9/30/86,317.37,133.79,163.73,302.99
10/31/86,335.67,138.97,167.53,307.37
11/28/86,343.83,138.28,167.08,311.67
12/31/86,335.05,134.05,166.60,312.84
1/30/87,380.17,149.45,173.49,317.25
2/27/87,395.19,161.80,177.17,319.45
3/31/87,406.59,165.99,178.39,318.01
4/30/87,402.98,161.06,172.19,309.29
5/29/87,406.48,160.22,173.43,308.08
6/30/87,427.00,164.12,175.65,312.32
7/31/87,448.64,169.08,176.12,312.08
8/31/87,465.38,173.75,177.21,310.41
9/30/87,455.17,170.41,171.63,303.80
