Date,USDEUR Crncy
1999-01-01,0.8475
1999-01-04,0.8448
1999-01-05,0.8502
1999-01-06,0.86
1999-01-07,0.8538
1999-01-08,0.8632
1999-01-11,0.87
1999-01-12,0.865
1999-01-13,0.857
1999-01-14,0.8554
1999-01-15,0.8654
1999-01-18,0.8611
1999-01-19,0.8624
1999-01-20,0.8647
1999-01-21,0.8619
1999-01-22,0.863
1999-01-25,0.8669
1999-01-26,0.865
1999-01-27,0.8737
1999-01-28,0.8757
1999-01-29,0.8801
1999-02-01,0.8843
1999-02-02,0.881
1999-02-03,0.8839
1999-02-04,0.8818
1999-02-05,0.8876
1999-02-08,0.8831
1999-02-09,0.8838
1999-02-10,0.8829
1999-02-11,0.8909
1999-02-12,0.8843
1999-02-15,0.8909
1999-02-16,0.8921
1999-02-17,0.889
1999-02-18,0.8933
1999-02-19,0.9034
1999-02-22,0.9073
1999-02-23,0.9085
1999-02-24,0.9085
1999-02-25,0.9062
1999-02-26,0.9067
1999-03-01,0.9181
1999-03-02,0.9139
1999-03-03,0.9195
1999-03-04,0.926
1999-03-05,0.924
1999-03-08,0.9184
1999-03-09,0.919
1999-03-10,0.9138
1999-03-11,0.9056
1999-03-12,0.917
1999-03-15,0.9147
1999-03-16,0.9094
1999-03-17,0.9089
1999-03-18,0.9114
1999-03-19,0.9178
1999-03-22,0.9168
1999-03-23,0.918
1999-03-24,0.9199
1999-03-25,0.9226
1999-03-26,0.9259
1999-03-29,0.9318
1999-03-30,0.9318
1999-03-31,0.9292
1999-04-01,0.9264
1999-04-02,0.9271
1999-04-05,0.9335
1999-04-06,0.9234
1999-04-07,0.9281
1999-04-08,0.9309
1999-04-09,0.9262
1999-04-12,0.9256
1999-04-13,0.9275
1999-04-14,0.9258
1999-04-15,0.9334
1999-04-16,0.9341
1999-04-19,0.9381
1999-04-20,0.9411
1999-04-21,0.9448
1999-04-22,0.9393
1999-04-23,0.9435
1999-04-26,0.9443
1999-04-27,0.9379
1999-04-28,0.9415
1999-04-29,0.9427
1999-04-30,0.9461
1999-05-03,0.9463
1999-05-04,0.9407
1999-05-05,0.9292
1999-05-06,0.9266
1999-05-07,0.9296
1999-05-10,0.9275
1999-05-11,0.9334
1999-05-12,0.9393
1999-05-13,0.9384
1999-05-14,0.9382
1999-05-17,0.937
1999-05-18,0.9369
1999-05-19,0.9378
1999-05-20,0.9414
1999-05-21,0.9447
1999-05-24,0.9428
1999-05-25,0.9413
1999-05-26,0.9576
1999-05-27,0.9594
1999-05-28,0.9589
1999-05-31,0.9597
1999-06-01,0.9571
1999-06-02,0.9653
1999-06-03,0.9685
1999-06-04,0.9637
1999-06-07,0.9682
1999-06-08,0.9555
1999-06-09,0.9555
1999-06-10,0.9539
1999-06-11,0.9507
1999-06-14,0.9594
1999-06-15,0.959
1999-06-16,0.9701
1999-06-17,0.9668
1999-06-18,0.9617
1999-06-21,0.9665
1999-06-22,0.9685
1999-06-23,0.9674
1999-06-24,0.9603
1999-06-25,0.9588
1999-06-28,0.968
1999-06-29,0.9691
1999-06-30,0.9661
1999-07-01,0.9775
1999-07-02,0.9757
1999-07-05,0.9782
1999-07-06,0.9769
1999-07-07,0.9783
1999-07-08,0.9783
1999-07-09,0.9808
1999-07-12,0.9857
1999-07-13,0.9833
1999-07-14,0.9865
1999-07-15,0.9814
1999-07-16,0.9803
1999-07-19,0.9696
1999-07-20,0.9615
1999-07-21,0.9524
1999-07-22,0.9517
1999-07-23,0.9519
1999-07-26,0.9392
1999-07-27,0.9405
1999-07-28,0.9379
1999-07-29,0.9324
1999-07-30,0.9335
1999-08-02,0.9354
1999-08-03,0.9363
1999-08-04,0.928
1999-08-05,0.9295
1999-08-06,0.9308
1999-08-09,0.9331
1999-08-10,0.9337
1999-08-11,0.9383
1999-08-12,0.9369
1999-08-13,0.9463
1999-08-16,0.9451
1999-08-17,0.9517
1999-08-18,0.9506
1999-08-19,0.9395
1999-08-20,0.937
1999-08-23,0.9532
1999-08-24,0.9484
1999-08-25,0.9593
1999-08-26,0.9567
1999-08-27,0.9557
1999-08-30,0.9539
1999-08-31,0.9464
1999-09-01,0.945
1999-09-02,0.9355
1999-09-03,0.9422
1999-09-06,0.9456
1999-09-07,0.9446
1999-09-08,0.9436
1999-09-09,0.9489
1999-09-10,0.9639
1999-09-13,0.9592
