Date,USDEUR ,USDCAD,USDJPY,USDNZD,USDGBP,USDAUD,USDSEK,USDNOK,USDCHF
1995-01-31,0.7891,1.407,99.55,1.5678,0.6331,1.3216,7.4735,6.68,1.2855
1995-02-28,0.7736,1.3908,96.69,1.5762,0.6314,1.3533,7.3538,6.4851,1.2375
1995-03-31,0.7345,1.399,86.55,1.5274,0.6167,1.3615,7.3367,6.1379,1.1285
1995-04-28,0.7396,1.356,84.34,1.4874,0.6202,1.3732,7.2833,6.2425,1.144
1995-05-31,0.7477,1.3701,84.62,1.5025,0.6305,1.3932,7.3345,6.2884,1.1672
1995-06-30,0.735,1.372,84.63,1.4931,0.6268,1.408,7.2608,6.1522,1.148
1995-07-31,0.7265,1.365,88.45,1.4805,0.6262,1.354,7.0805,6.1431,1.1525
1995-08-31,0.7673,1.3432,97.46,1.5341,0.6453,1.3316,7.2987,6.4181,1.2034
1995-09-29,0.7483,1.3415,99.73,1.5209,0.631,1.3234,6.9226,6.2876,1.1543
1995-10-31,0.7403,1.3443,101.96,1.5178,0.633,1.3166,6.6423,6.2282,1.1363
1995-11-30,0.7551,1.3606,102.04,1.531,0.652,1.3445,6.5524,6.3643,1.1761
1995-12-29,0.7467,1.3645,103.52,1.5295,0.6454,1.3463,6.6578,6.3457,1.1543
1996-01-31,0.7726,1.3742,107.05,1.4899,0.6607,1.3399,6.9519,6.5097,1.2112
1996-02-29,0.762,1.3693,105.23,1.4858,0.6528,1.3078,6.7543,6.4088,1.2015
1996-03-29,0.765,1.3595,107.26,1.4689,0.6549,1.2774,6.6748,6.4124,1.1897
1996-04-30,0.7884,1.3616,105.13,1.4551,0.6638,1.2699,6.8048,6.5735,1.2445
1996-05-31,0.784,1.3688,108.08,1.4726,0.6447,1.2521,6.7158,6.5078,1.2486
1996-06-28,0.7807,1.3636,109.73,1.4612,0.644,1.269,6.6418,6.5044,1.2545
1996-07-31,0.7599,1.3752,106.82,1.453,0.6424,1.2942,6.5978,6.368,1.1978
1996-08-30,0.7617,1.3682,108.9,1.4492,0.6391,1.2665,6.6283,6.4114,1.2017
1996-09-30,0.781,1.3616,111.39,1.4308,0.6389,1.2637,6.6348,6.4922,1.2548
1996-10-31,0.7748,1.3387,114.07,1.4148,0.6146,1.2632,6.578,6.385,1.2687
1996-11-29,0.7861,1.3511,113.85,1.4057,0.5945,1.2253,6.7254,6.4251,1.305
1996-12-31,0.7864,1.3705,115.7,1.4149,0.5834,1.2592,6.8122,6.3775,1.3415
1997-01-31,0.8357,1.3472,121.3,1.4521,0.6241,1.3117,7.2523,6.483,1.4225
1997-02-28,0.8641,1.3681,120.38,1.4394,0.614,1.2846,7.4868,6.7408,1.479
1997-03-31,0.8581,1.3842,123.8,1.439,0.6107,1.2728,7.5492,6.6153,1.4488
1997-04-30,0.8847,1.3978,127.1,1.4427,0.6159,1.2811,7.8553,7.1209,1.4735
1997-05-30,0.8722,1.377,116.33,1.4502,0.6102,1.3155,7.7323,7.1129,1.4142
1997-06-30,0.8885,1.3812,114.58,1.4683,0.6004,1.3263,7.7273,7.3298,1.4618
1997-07-31,0.9364,1.3783,118.55,1.5414,0.6095,1.3373,7.9855,7.6266,1.5125
1997-08-29,0.9185,1.3883,120.95,1.5648,0.6191,1.3657,7.8782,7.4823,1.4925
1997-09-30,0.9004,1.3819,120.51,1.557,0.619,1.3792,7.568,7.0625,1.4476
1997-10-31,0.8781,1.4083,120.48,1.6081,0.5978,1.4262,7.525,7.0243,1.3995
1997-11-28,0.899,1.4229,127.85,1.6209,0.5921,1.4678,7.7505,7.196,1.4269
1997-12-31,0.9167,1.4297,130.59,1.72,0.6078,1.5376,7.9143,7.3738,1.4619
1998-01-30,0.9339,1.4534,127.05,1.7109,0.6127,1.4636,8.137,7.5936,1.4762
1998-02-27,0.9273,1.4235,126.1,1.7055,0.6086,1.4706,8.0055,7.586,1.4653
1998-03-31,0.9444,1.4196,133.07,1.8114,0.5977,1.5095,8.008,7.6225,1.5223
1998-04-30,0.9169,1.4308,132.87,1.8075,0.5984,1.5402,7.7415,7.458,1.5013
1998-05-29,0.9106,1.4569,138.8,1.8721,0.6131,1.6053,7.8565,7.5573,1.4831
1998-06-30,0.9216,1.4669,138.78,1.9227,0.5996,1.611,7.9919,7.662,1.5203
