Year,EUR,CAD,JPY,NZD,GBP,AUD,SEK,NOK,CHF
1995,0.843,1.209,174.591,1.463,0.714,1.310,9.364,9.084,1.925
1995,0.843,1.209,174.591,1.463,0.714,1.310,9.364,9.084,1.925
1995,0.843,1.209,174.591,1.463,0.714,1.310,9.364,9.084,1.925
1995,0.843,1.209,174.591,1.463,0.714,1.310,9.364,9.084,1.925
1995,0.843,1.209,174.591,1.463,0.714,1.310,9.364,9.084,1.925
1995,0.843,1.209,174.591,1.463,0.714,1.310,9.364,9.084,1.925
1995,0.843,1.209,174.591,1.463,0.714,1.310,9.364,9.084,1.925
1995,0.843,1.209,174.591,1.463,0.714,1.310,9.364,9.084,1.925
1995,0.843,1.209,174.591,1.463,0.714,1.310,9.364,9.084,1.925
1995,0.843,1.209,174.591,1.463,0.714,1.310,9.364,9.084,1.925
1995,0.843,1.209,174.591,1.463,0.714,1.310,9.364,9.084,1.925
1995,0.843,1.209,174.591,1.463,0.714,1.310,9.364,9.084,1.925
1996,0.854,1.208,170.609,1.467,0.714,1.312,9.260,8.987,1.889
1996,0.854,1.208,170.609,1.467,0.714,1.312,9.260,8.987,1.889
1996,0.854,1.208,170.609,1.467,0.714,1.312,9.260,8.987,1.889
1996,0.854,1.208,170.609,1.467,0.714,1.312,9.260,8.987,1.889
1996,0.854,1.208,170.609,1.467,0.714,1.312,9.260,8.987,1.889
1996,0.854,1.208,170.609,1.467,0.714,1.312,9.260,8.987,1.889
1996,0.854,1.208,170.609,1.467,0.714,1.312,9.260,8.987,1.889
1996,0.854,1.208,170.609,1.467,0.714,1.312,9.260,8.987,1.889
1996,0.854,1.208,170.609,1.467,0.714,1.312,9.260,8.987,1.889
1996,0.854,1.208,170.609,1.467,0.714,1.312,9.260,8.987,1.889
1996,0.854,1.208,170.609,1.467,0.714,1.312,9.260,8.987,1.889
1996,0.854,1.208,170.609,1.467,0.714,1.312,9.260,8.987,1.889
1997,0.864,1.201,168.583,1.449,0.709,1.308,9.335,9.062,1.845
1997,0.864,1.201,168.583,1.449,0.709,1.308,9.335,9.062,1.845
