KYTREASNOX,MCALDT,TMYTM
2000001,01/31/1973,5.5713957999
2000001,02/28/1973,5.5794192629
2000001,03/30/1973,5.8749135902
2000001,04/30/1973,5.9870019491
2000001,05/31/1973,6.5266410406
2000001,06/29/1973,7.4356971567
2000001,07/31/1973,8.3118257302
2000001,08/31/1973,8.5812769024
2000001,09/28/1973,7.3351582621
2000001,10/31/1973,6.9281956194
2000001,11/30/1973,7.4474415501
2000001,12/31/1973,7.3635220605
2000001,01/31/1974,7.5503336811
2000001,02/28/1974,7.3767217526
2000001,03/29/1974,8.4995023135
2000001,04/30/1974,8.7712716996
2000001,05/31/1974,7.8337847196
2000001,06/28/1974,7.6806731343
2000001,07/31/1974,7.7145427956
2000001,08/30/1974,9.2151194459
2000001,09/30/1974,6.1704820957
2000001,10/31/1974,6.6723874729
2000001,11/29/1974,7.4984985239
2000001,12/31/1974,6.5368548941
2000001,01/31/1975,5.5399943958
2000001,02/28/1975,4.7555282358
2000001,03/31/1975,5.2738987318
2000001,04/30/1975,5.2139016622
2000001,05/30/1975,4.8563773445
2000001,06/30/1975,5.6507603351
2000001,07/31/1975,6.0297513221
2000001,08/29/1975,5.9680983042
2000001,09/30/1975,6.2922352643
2000001,10/31/1975,5.3157950014
2000001,11/28/1975,5.1837074516
2000001,12/31/1975,5.1720308363
2000001,01/30/1976,4.5212994869
2000001,02/27/1976,4.6536503208
2000001,03/31/1976,4.7555336273
2000001,04/30/1976,4.6937806939
2000001,05/28/1976,5.0604019785
2000001,06/30/1976,5.2961696443
2000001,07/30/1976,5.0814385987
2000001,08/31/1976,4.764475863
2000001,09/30/1976,5.0817996838
2000001,10/29/1976,4.7555174529
2000001,11/30/1976,4.3471995355
2000001,12/31/1976,4.2566144261
2000001,01/31/1977,4.5510384388
2000001,02/28/1977,4.4288747499
2000001,03/31/1977,4.5414160933
2000001,04/29/1977,4.3884197406
2000001,05/31/1977,4.8350901508
2000001,06/30/1977,4.949368002
2000001,07/29/1977,5.3463325225
2000001,08/31/1977,5.3776986434
2000001,09/30/1977,5.8151636363
2000001,10/31/1977,5.8240028233
2000001,11/30/1977,5.6937504516
2000001,12/30/1977,5.75402501
2000001,01/31/1978,5.9967208538
2000001,02/28/1978,6.088425174
2000001,03/31/1978,6.4972253572
2000001,04/28/1978,6.0486483399
2000001,05/31/1978,6.5097372536
2000001,06/30/1978,6.5595704755
2000001,07/31/1978,6.5170219182
2000001,08/31/1978,7.6013808132
2000001,09/29/1978,8.0193091668
2000001,10/31/1978,8.5363841008
2000001,11/30/1978,9.0628587331
2000001,12/29/1978,8.4280128146
2000001,01/31/1979,9.5219756131
2000001,02/28/1979,9.5424300333
2000001,03/30/1979,9.6421703239
2000001,04/30/1979,9.5693372512
2000001,05/31/1979,9.6869363074
2000001,06/29/1979,8.9901567044
2000001,07/31/1979,9.0981299697
2000001,08/31/1979,10.054020185
2000001,09/28/1979,10.279168062
2000001,10/31/1979,11.717011923
2000001,11/30/1979,10.903798849
2000001,12/31/1979,9.3444829227
2000001,01/31/1980,11.721614021
2000001,02/29/1980,13.616367857
2000001,03/31/1980,15.050646803
2000001,04/30/1980,9.2379298527
2000001,05/30/1980,7.1820263316
2000001,06/30/1980,6.2010228155
2000001,07/31/1980,7.4992604535
2000001,08/29/1980,9.2969461595
2000001,09/30/1980,10.794970513
2000001,10/31/1980,11.682503146
2000001,11/28/1980,14.651751019
2000001,12/31/1980,12.527633629
2000001,01/30/1981,13.919302366
2000001,02/27/1981,14.032281898
2000001,03/31/1981,13.016699447
2000001,04/30/1981,13.819236045
2000001,05/29/1981,16.150476854
2000001,06/30/1981,14.411282282
2000001,07/31/1981,14.957169615
2000001,08/31/1981,14.968477193
