caldt,b5ret,b1ret,t30ret
19730131,0.000592,0.000071,0.004410
19730228,-0.007539,0.002978,0.004277
19730330,0.002407,0.000478,0.004750
19730430,0.008916,0.008762,0.005002
19730531,0.004753,0.002317,0.005098
19730629,-0.000306,0.000399,0.005379
19730731,-0.035577,-0.003157,0.006540
19730831,0.033501,0.009507,0.006855
19730928,0.028673,0.016156,0.006749
19731031,0.002270,0.009810,0.006856
19731130,0.006209,0.004356,0.005529
19731231,0.002393,0.005515,0.006961
19740131,0.000265,0.007693,0.006274
19740228,0.003542,0.004431,0.005819
19740329,-0.021528,-0.005337,0.005677
19740430,-0.018172,0.001555,0.007949
19740531,0.016437,0.010088,0.007235
19740628,-0.009391,0.003699,0.006892
19740731,0.002071,0.006664,0.006756
19740830,-0.001181,0.000455,0.005940
19740930,0.032098,0.022223,0.007997
19741031,0.011080,0.011351,0.005254
19741129,0.022249,0.007243,0.005139
19741231,0.017449,0.010211,0.007009
19750131,0.006574,0.015997,0.005387
19750228,0.014735,0.007390,0.004326
19750331,-0.008388,0.002314,0.004014
19750430,-0.016747,0.000681,0.004489
19750530,0.027268,0.012461,0.004869
19750630,0.000170,-0.001183,0.004133
19750731,-0.002112,0.002888,0.004811
19750829,0.001699,0.004900,0.004815
19750930,0.001816,0.004524,0.005575
19751031,0.031872,0.020320,0.005185
19751128,-0.001882,0.003420,0.004127
19751231,0.024073,0.011102,0.004983
19760130,0.005252,0.011287,0.004402
19760227,0.006377,-0.000070,0.003452
19760331,0.009178,0.006907,0.004344
19760430,0.007850,0.005525,0.004440
19760528,-0.009774,-0.001050,0.004124
19760630,0.010035,0.009116,0.004446
19760730,0.005678,0.008933,0.004390
19760831,0.015825,0.007982,0.004745
19760930,0.013244,0.006478,0.003924
19761029,0.016418,0.007724,0.004092
19761130,0.033367,0.010535,0.004440
19761231,0.004605,0.005797,0.003579
19770131,-0.021982,-0.002645,0.003594
19770228,0.001962,0.006148,0.003499
19770331,0.008241,0.007035,0.003769
19770429,0.008879,0.004417,0.004114
19770531,0.007340,0.003003,0.003855
19770630,0.014961,0.007888,0.003716
19770729,-0.007198,-0.000113,0.003873
19770831,0.008501,0.004549,0.004993
19770930,-0.000428,0.002863,0.004330
19771031,-0.006108,0.002716,0.004943
19771130,0.009088,0.006816,0.004959
19771230,-0.003384,0.003938,0.004700
19780131,0.000674,0.004119,0.005374
19780228,0.000485,0.005423,0.004941
19780331,0.004002,0.005666,0.005017
19780428,0.003640,0.004503,0.005712
19780531,-0.001671,0.003019,0.005317
19780630,-0.002320,0.002591,0.005369
19780731,0.009525,0.007500,0.005591
19780831,0.008457,0.006144,0.005550
19780929,0.001508,0.001670,0.005964
19781031,-0.011822,-0.001486,0.007498
19781130,0.014548,0.005821,0.007041
19781229,-0.012748,0.004008,0.007372
19790131,0.022777,0.013594,0.007882
19790228,-0.006542,0.005848,0.007324
19790330,0.012266,0.011134,0.008928
19790430,0.002297,0.006254,0.008489
19790531,0.021115,0.011964,0.008161
19790629,0.021243,0.013530,0.007858
19790731,-0.001769,0.002443,0.008410
19790831,-0.006227,0.002011,0.007506
19790928,-0.001467,0.003104,0.007732
19791031,-0.051422,-0.008462,0.009621
19791130,0.038609,0.022202,0.009878
19791231,0.007231,0.004434,0.010209
19800131,-0.014792,0.004360,0.007968
19800229,-0.058022,-0.017205,0.010654
19800331,0.009701,0.006983,0.012009
19800430,0.106119,0.056059,0.012865
19800530,0.043061,0.027164,0.007883
19800630,0.012397,0.011976,0.006312
19800731,-0.014512,0.002552,0.005281
19800829,-0.047227,-0.011296,0.005973
19800930,-0.001690,0.004651,0.008698
19801031,-0.020527,0.000010,0.008912
19801128,-0.005101,-0.001299,0.008895
19801231,0.038364,0.022957,0.014149
19810130,0.004090,0.006077,0.009957
19810227,-0.022316,0.006590,0.010685
19810331,0.025660,0.021684,0.013157
19810430,-0.023817,-0.007223,0.010756
19810529,0.027488,0.010433,0.010646
19810630,0.005565,0.015184,0.015158
19810731,-0.024240,-0.000216,0.011915
19810831,-0.017160,0.008122,0.012804
19810930,0.001361,0.016832,0.012794
19811030,0.064539,0.029558,0.011685
19811130,0.067174,0.039117,0.011030
19811231,-0.038737,-0.001493,0.008738
19820129,0.005668,0.007204,0.007306
19820226,0.013636,0.011353,0.009176
19820331,0.004763,0.012556,0.011077
19820430,0.030878,0.016626,0.011290
19820528,0.011001,0.017477,0.009592
19820630,-0.016702,0.000484,0.010710
19820730,0.048838,0.026425,0.010210
19820831,0.042427,0.025120,0.008342
19820930,0.036720,0.018572,0.005118
19821029,0.052641,0.016578,0.005475
19821130,0.006722,0.010152,0.007201
19821231,0.017805,0.012635,0.006289
19830131,-0.000120,0.007358,0.006864
19830228,0.025365,0.010684,0.006186
19830331,-0.003449,0.002196,0.006326
19830429,0.023276,0.012345,0.006918
19830531,-0.013962,0.002453,0.007584
19830630,0.002685,0.005106,0.006661
19830729,-0.018615,0.002198,0.006917
19830831,0.003932,0.008964,0.008342
19830930,0.028285,0.014604,0.007607
19831031,0.008374,0.009713,0.007433
19831130,0.009663,0.006869,0.007199
19831230,0.003493,0.007258,0.007039
19840131,0.016916,0.012070,0.008083
19840229,-0.004929,0.004677,0.007328
19840330,-0.008219,0.002325,0.007280
19840430,0.001826,0.008503,0.008130
19840531,-0.030707,-0.000679,0.007898
19840629,0.012716,0.010672,0.007534
19840731,0.043932,0.015196,0.008755
19840831,0.010768,0.009296,0.007963
19840928,0.019767,0.014104,0.008293
19841031,0.044834,0.019387,0.009766
19841130,0.018118,0.016028,0.007334
19841231,0.016844,0.011920,0.006923
19850131,0.022409,0.010537,0.006474
19850228,-0.019757,-0.000024,0.006033
19850329,0.016816,0.009301,0.006160
19850430,0.023125,0.014406,0.007565
19850531,0.050704,0.016508,0.006062
19850628,0.009185,0.010745,0.005546
19850731,-0.002507,0.004502,0.006196
19850830,0.017243,0.008959,0.005792
19850930,0.008820,0.007502,0.006049
19851031,0.018743,0.009047,0.006021
19851129,0.018924,0.008595,0.006156
19851231,0.031467,0.008772,0.006139
19860131,0.006628,0.007157,0.004865
19860228,0.028119,0.008737,0.005296
19860331,0.032452,0.011685,0.005963
19860430,0.006592,0.008724,0.005341
19860530,-0.017460,0.003255,0.004934
19860630,0.029247,0.010356,0.005246
19860731,0.014430,0.008645,0.005011
19860829,0.027386,0.012461,0.004614
19860930,-0.006582,0.002585,0.004783
19861031,0.016345,0.006131,0.004209
19861128,0.012781,0.004944,0.003924
19861231,0.002098,0.002349,0.004767
19870130,0.010666,0.006284,0.004151
19870227,0.003773,0.004092,0.004309
19870331,-0.003233,0.003873,0.005012
19870430,-0.024081,-0.000434,0.004285
19870529,-0.004098,0.004298,0.003760
19870630,0.013430,0.009910,0.005031
19870731,0.001149,0.005853,0.004058
19870831,-0.006054,0.003542,0.004744
19870930,-0.019123,0.000240,0.004820
19871030,0.035681,0.015686,0.006040
19871130,0.005670,0.005826,0.003366
19871231,0.013402,0.005116,0.002988
19880129,0.030010,0.011254,0.002762
19880229,0.011305,0.007677,0.004564
19880331,-0.009247,0.003859,0.004402
19880429,-0.004137,0.003688,0.004577
19880531,-0.007183,0.001617,0.005051
19880630,0.020762,0.007493,0.004832
19880729,-0.005904,0.002558,0.005060
19880831,-0.000459,0.004328,0.005957
19880930,0.020930,0.008824,0.006145
19881031,0.017311,0.008575,0.006074
19881130,-0.012654,0.000707,0.005742
19881230,-0.003215,0.004501,0.006306
19890131,0.010971,0.008496,0.005766
19890228,-0.008109,0.002672,0.006110
19890331,0.004408,0.006234,0.006213
19890428,0.024226,0.013278,0.006810
19890531,0.020272,0.011499,0.008006
19890630,0.033222,0.014121,0.007147
19890731,0.025020,0.011753,0.007040
19890831,-0.018245,0.000374,0.006684
