"","dates","ret_5_yr_daily","ret_10_yr_daily","bps_credit_aaa","bps_credit_baa","spread_aaa.minus.baa","Close","Adj","PX_LAST","snp_ret","clusters_fcm"
"1",1990-01-03,7.911,7.974,8.9,9.86,0.96,358.76,549.656,18.19,-0.0025660982150911,2
"2",1990-01-04,7.9,7.972,8.89,9.84,0.95,355.67,545.1563,19.22,-0.00818639294395033,2
"3",1990-01-05,7.896,7.984,8.88,9.88,1,352.2,539.8498,20.11,-0.00973390567072237,2
"4",1990-01-08,7.907,8.012,8.9,9.88,0.98,353.79,542.333,20.26,0.00459979794379846,2
"5",1990-01-09,7.903,8.009,8.92,9.86,0.94,349.62,535.9468,22.2,-0.011775422111507,2
"6",1990-01-10,7.907,8.014,8.91,9.88,0.97,347.31,532.4118,22.44,-0.00659580391188096,2
"7",1990-01-11,7.949,8.044,8.92,9.86,0.94,348.53,534.2821,20.05,0.00351288232154141,2
"8",1990-01-12,7.983,8.096,8.94,9.87,0.93,339.93,521.1891,24.64,-0.0245057807476611,2
"9",1990-01-15,7.995,8.113,8.94,9.88,0.94,337,516.6967,26.34,-0.00861952024706597,2
"10",1990-01-16,8.106,8.196,8.95,9.92,0.97,340.75,522.4708,24.18,0.011175027825802,2
"11",1990-01-17,8.095,8.191,8.97,9.92,0.95,337.4,517.3542,24.16,-0.00979308317326071,2
"12",1990-01-18,8.233,8.303,9.02,9.97,0.95,338.19,518.5656,24.34,0.00234152926563663,2
"13",1990-01-19,8.164,8.232,9.01,9.95,0.94,339.15,520.0529,22.5,0.00286810386188364,2
"14",1990-01-22,8.164,8.27,9.01,9.96,0.95,330.38,506.6571,26.7,-0.0257585334107357,2
"15",1990-01-23,8.254,8.349,9.03,9.97,0.94,331.61,508.5465,24.72,0.00372914935959639,2
"16",1990-01-24,8.269,8.366,9.07,10,0.93,330.26,506.5728,25.39,-0.00388106102391818,2
"17",1990-01-25,8.305,8.413,9.06,10,0.94,326.08,500.1981,25.63,-0.0125839760839902,2
"18",1990-01-26,8.348,8.464,9.1,10.06,0.96,325.8,499.8146,26.28,-0.000766696234951765,2
"19",1990-01-29,8.431,8.535,9.14,10.09,0.95,325.2,498.9984,26.44,-0.0016330055184462,2
"20",1990-01-30,8.388,8.501,9.18,10.12,0.94,322.98,495.7178,27.25,-0.00657436977753835,2
"21",1990-01-31,8.318,8.418,9.15,10.11,0.96,329.08,505.0813,25.36,0.018888770990269,2
"22",1990-02-01,8.333,8.413,9.14,10.1,0.96,328.79,504.7109,24.87,-0.000733347284882687,2
"23",1990-02-02,8.409,8.494,9.15,10.09,0.94,330.92,508.0607,24.32,0.00663706688323953,2
"24",1990-02-05,8.421,8.519,9.19,10.12,0.93,331.85,509.8342,24.54,0.00349072463191901,2
"25",1990-02-06,8.484,8.58,9.24,10.13,0.89,329.66,506.6547,24.69,-0.00623634114776925,2
"26",1990-02-07,8.441,8.536,9.25,10.14,0.89,333.75,513.0415,24.29,0.0126058240454496,2
"27",1990-02-08,8.378,8.429,9.22,10.14,0.92,332.96,511.8567,23.77,-0.00230936483695774,2
"28",1990-02-09,8.261,8.29,9.18,10.11,0.93,333.62,513.1095,23.69,0.00244756002998503,2
"29",1990-02-12,8.348,8.385,9.2,10.11,0.91,330.08,507.8468,24.38,-0.0102564852141698,2
"30",1990-02-13,8.277,8.32,9.2,10.1,0.9,331.02,509.434,23.76,0.003125351976226,2
"31",1990-02-14,8.332,8.373,9.2,10.12,0.92,332.01,510.9991,22.05,0.00307223310576046,2
"32",1990-02-15,8.376,8.413,9.21,10.13,0.92,334.89,515.4672,19.71,0.00874385101656745,2
"33",1990-02-16,8.381,8.413,9.22,10.1,0.88,332.72,512.2647,20.78,-0.00621281043682333,2
"34",1990-02-20,8.592,8.629,9.28,10.14,0.86,327.99,505.022,22.78,-0.0141385888974976,2
"35",1990-02-21,8.568,8.603,9.28,10.2,0.92,327.67,504.5326,23.89,-0.000969066694124195,2
"36",1990-02-22,8.509,8.539,9.26,10.2,0.94,325.7,501.5463,22.54,-0.00591894359254492,2
"37",1990-02-23,8.462,8.537,9.26,10.21,0.95,324.15,499.2945,23.69,-0.0044897151070598,2
"38",1990-02-26,8.398,8.459,9.26,10.22,0.96,328.67,506.3936,23.56,0.0142182619676363,2
"39",1990-02-27,8.346,8.414,9.24,10.19,0.95,330.26,508.9421,22.69,0.00503264654213637,2
"40",1990-02-28,8.451,8.515,9.25,10.19,0.94,331.89,511.5599,21.99,0.00514361063861694,2
"41",1990-03-01,8.537,8.581,9.28,10.2,0.92,332.74,512.9061,21.9,0.00263155888489307,2
"42",1990-03-02,8.503,8.546,9.28,10.2,0.92,335.54,517.2516,21.34,0.00847231101365341,2
"43",1990-03-05,8.601,8.631,9.35,10.28,0.93,333.74,514.6776,22.03,-0.00497630166827917,2
"44",1990-03-06,8.533,8.562,9.36,10.24,0.88,337.93,521.1849,20.55,0.0126434490251761,2
"45",1990-03-07,8.556,8.579,9.35,10.19,0.84,336.95,519.691,19.1,-0.00286635318866671,2
"46",1990-03-08,8.555,8.553,9.34,10.23,0.89,340.27,524.8257,19.74,0.00988029425177644,2
"47",1990-03-09,8.666,8.631,9.35,10.24,0.89,337.93,521.4399,20.3,-0.00645128468365787,2
"48",1990-03-12,8.662,8.629,9.35,10.24,0.89,338.67,522.614,20.07,0.00225164971073381,2
"49",1990-03-13,8.731,8.708,9.38,10.23,0.85,336,518.5125,21.05,-0.00784804846406715,2
"50",1990-03-14,8.654,8.628,9.42,10.23,0.81,336.87,519.8658,19.65,0.00260996600853401,2
"51",1990-03-15,8.688,8.652,9.44,10.23,0.79,338.07,521.7318,18.81,0.00358938787664044,2
"52",1990-03-16,8.604,8.566,9.43,10.19,0.76,341.91,527.6739,17.62,0.0113891850180495,2
"53",1990-03-19,8.635,8.581,9.42,10.2,0.78,343.53,530.1832,18.29,0.00475539912055543,2
"54",1990-03-20,8.596,8.533,9.39,10.16,0.77,341.57,527.21,19.06,-0.00560787290129152,2
"55",1990-03-21,8.631,8.564,9.38,10.16,0.78,339.74,524.3899,20.1,-0.00534910187591287,2
"56",1990-03-22,8.558,8.528,9.37,10.17,0.8,335.69,518.1387,22.74,-0.011920900841149,2
"57",1990-03-23,8.531,8.521,9.37,10.17,0.8,337.22,520.5068,20.46,0.00457039784907019,2
"58",1990-03-26,8.501,8.495,9.37,10.18,0.81,337.63,521.4409,19.59,0.00179459711189183,2
"59",1990-03-27,8.539,8.512,9.36,10.17,0.81,341.5,527.439,21.01,0.011502933505983,2
"60",1990-03-28,8.504,8.495,9.36,10.2,0.84,342,528.2245,19.77,0.00148927174516877,2
"61",1990-03-29,8.619,8.614,9.37,10.21,0.84,340.79,526.3556,18.46,-0.00353807897967636,2
"62",1990-03-30,8.638,8.628,9.39,10.23,0.84,339.94,525.0918,19.73,-0.00240103838545642,2
"63",1990-04-02,8.63,8.64,9.4,10.24,0.84,338.7,523.2796,22.84,-0.00345120605577934,2
"64",1990-04-03,8.623,8.626,9.41,10.22,0.81,343.64,530.9856,20.44,0.0147263527949494,2
"65",1990-04-04,8.55,8.547,9.36,10.21,0.85,341.09,527.2861,22.03,-0.00696723225639253,2
"66",1990-04-05,8.553,8.559,9.37,10.21,0.84,340.73,526.7419,21.21,-0.00103207727266098,2
"67",1990-04-06,8.549,8.552,9.36,10.2,0.84,340.08,525.7878,21.76,-0.00181132353435343,2
"68",1990-04-09,8.576,8.587,9.36,10.19,0.83,341.37,527.7933,22.3,0.00381427640580496,2
"69",1990-04-10,8.596,8.623,9.38,10.18,0.8,342.07,528.8756,21.69,0.00205061337459175,2
"70",1990-04-11,8.584,8.611,9.39,10.18,0.79,341.92,528.6461,17.73,-0.000433939474613532,2
"71",1990-04-12,8.611,8.633,9.4,10.17,0.77,344.34,532.4364,19.8,0.0071698249547287,2
"72",1990-04-16,8.622,8.666,9.39,10.19,0.8,344.74,533.1054,20.75,0.00125648809886023,2
"73",1990-04-17,8.692,8.741,9.44,10.24,0.8,344.68,533.0219,20.38,-0.000156629439506844,2
"74",1990-04-18,8.813,8.851,9.46,10.31,0.85,340.72,526.9176,22.67,-0.0114522498981749,2
"75",1990-04-19,8.817,8.863,9.47,10.32,0.85,338.09,522.8599,22.46,-0.00770082456915456,2
"76",1990-04-20,8.876,8.945,9.51,10.37,0.86,335.12,518.2811,23.33,-0.00875722158077145,2
"77",1990-04-23,8.908,8.977,9.56,10.42,0.86,331.05,512.0114,24.16,-0.0120971032900873,2
"78",1990-04-24,8.935,8.975,9.56,10.42,0.86,330.36,510.9797,21.7,-0.00201499419739483,2
"79",1990-04-25,8.979,8.992,9.6,10.42,0.82,332.03,513.6033,20.86,0.00513445054666557,2
"80",1990-04-26,9.066,9.062,9.61,10.49,0.88,332.92,515.0629,20.25,0.00284188205177035,2
"81",1990-04-27,9.019,9.042,9.61,10.51,0.9,329.11,509.1831,22.19,-0.0114156931124334,2
"82",1990-04-30,9,9.022,9.63,10.54,0.91,330.8,511.92,19.52,0.00537508020199412,2
"83",1990-05-01,9.063,9.06,9.64,10.55,0.91,332.25,514.3002,18.43,0.00464955461790905,2
"84",1990-05-02,9.06,9.062,9.64,10.56,0.92,334.48,517.777,19.32,0.00676025403062263,2
"85",1990-05-03,8.992,9.01,9.62,10.55,0.93,335.57,519.6206,17.81,0.00356060620691905,2
"86",1990-05-04,8.783,8.835,9.56,10.51,0.95,338.39,524.2566,17.28,0.00892189416662865,2
"87",1990-05-07,8.799,8.857,9.58,10.52,0.94,340.53,527.7091,17.65,0.00658551556623223,2
"88",1990-05-08,8.779,8.845,9.55,10.51,0.96,342.01,530.1954,18.49,0.0047114973003117,2
